"file","title","doc_type","bucket","final_disposition","best_manual_section","best_manual_similarity","best_canon_title","best_canon_similarity","justification"
"details.md","DETAILS","SET_TOPIC","PARTIAL","proposed-scope-reject","8.2 Sim area XY proportions","0.805257","NinjaLive v2 Content Descriptor","0.821029","The candidate provides specific technical instructions regarding resolution ratios matching area scale, custom ray sources for low-angle glitches, and the use of detail maps, none of which are covered in the canon excerpts."
"driving-fluidsim-with-particles.md","DRIVING FLUIDSIM WITH PARTICLES","SET_TOPIC","PARTIAL","active","5.6 Particles","0.763965","NinjaLive v2 Content Descriptor","0.791196","The candidate introduces a specific use case (using a SceneCapture Camera to grab particle data for the sim) and references a YouTube video, which is not covered in the canon excerpts; the canon only discusses SceneCapture for elevation/depth data."
"driving-niagara-particles.md","DRIVING NIAGARA PARTICLES","SET_TOPIC","PARTIAL","active","5.6 Particles","0.803098","NinjaLive v2 Content Descriptor","0.824751","The candidate adds specific technical constraints not found in the canon, such as the 'SampleTexture' function being accessible ONLY in GPU particle systems and the specific use of Screen DepthBuffer and DistanceFields for collision."
"driving-objects-with-sim-velocity.md","DRIVING OBJECTS WITH SIM VELOCITY","SET_TOPIC","PARTIAL","active","4.9 OutputMaterials","0.801253","NinjaLive v2 Content Descriptor","0.818268","While canon covers driving Niagara particles via sim velocity, the candidate adds specific technical instructions for driving non-particle PhysicsBodies via Blueprint using 'ReadRenderTargetRawUV' and explains the RG channel mapping for velocity vectors."
"duplicating-setups-and-making-prefabs.md","DUPLICATING SETUPS and MAKING PREFABS","SET_TOPIC","PARTIAL","active","3.4 Adjusting Setups","0.801726","FluidNinja LIVE-2 Manual","0.801726","While the canon covers tag conflicts and modularity, the candidate adds specific technical instructions regarding the use of dynamic render targets to avoid conflicts when duplicating Niagara-to-Ninja particle capture setups."
"dynamic-asset-loading.md","DYNAMIC ASSET LOADING","SET_TOPIC","PARTIAL","active","5.1 Bitmaps","0.787961","FluidNinja LIVE-2 Manual","0.787961","The candidate provides specific technical instructions for 'hardwiring' bitmap inputs via /Overwrite Preset Density/Velocity Input options, which are not present in the provided canon excerpts."
"dynamic-simulations-vs-limited-sim-area.md","dynamic simulations vs limited sim area","SET_TOPIC","REDUNDANT","proposed-discard","6.3 Extending The Sim Area","0.786534","NinjaLive v2 Limitations Descriptor","0.788281","The candidate's technical claims regarding clamping for auto-filled water (Canon 1, 2, 4), player-attached vs. fixed sim areas (Canon 2, 5), spline-mesh based surfaces (Canon 3, 4), and simulation caching (Canon 1, 5, 6) are all fully covered by the provided excerpts."
"dynamically-rescaling-a-volumesmoke-container.md","DYNAMICALLY RESCALING A VOLUMESMOKE CONTAINER","SET_TOPIC","PARTIAL","active","12.4 Distance Based Modes","0.724640","NinjaLive v2 Content Descriptor","0.746017","The candidate provides specific technical implementation details regarding the 'VolumeSmoke' container's proxy objects and a workaround for dynamic rescaling via 'growing density' in sim space, which are not covered in the canon."
"embedding-volumesmoke-to-ninjalive-bp.md","EMBEDDING VOLUMESMOKE TO NINJALIVE BP","SET_TOPIC","PARTIAL","active","1. Introduction","0.747507","NinjaLive v2 Content Descriptor","0.756567","While the canon confirms that NinjaLive can be used for character effects and supports CameraFacing mode, the candidate provides a specific implementation instruction (adding VolumeSmoke BP as a 'Child Actor' to the NinjaLive BP) not found in the excerpts."
"engine-upgrade-vs-ninja-upgrade.md","ENGINE UPGRADE vs NINJA UPGRADE","SET_TOPIC","PARTIAL","active","3.1 Merging Ninja","0.781779","FluidNinja LIVE-2 Manual","0.781779","The candidate provides a specific workflow for upgrading the Unreal Engine version of a host project and the corresponding 're-merge' strategy to preserve TraceChannels and custom assets, which is not covered in the provided canon excerpts."
"explaining-volume-concepts.md","EXPLAINING VOLUME CONCEPTS","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.823369","FluidNinja LIVE-2 Manual","0.823369","The candidate adds specific technical comparisons not found in the canon, including the Z-sorting capabilities of SVOL vs HVOL, the single vs multiple light-source limitation of SVOL, and the claim that Niagara only drives HVOL."
"foliage.md","FOLIAGE","SET_TOPIC","PARTIAL","active","4.8 DirectDrive","0.808076","NinjaLive v2 Content Descriptor","0.831405","The candidate provides specific internal parameter paths for the 'old method' (/SetInternalParamsToMat.Param.Collection) and a critical warning that the Grass.Generator Blueprint is for demonstration only, neither of which are present in the canon."
"footsteps.md","FOOTSTEPS","SET_TOPIC","REDUNDANT","proposed-discard","14.5 Interaction Volume","0.756424","NinjaLive v2 Limitations Descriptor","0.767962","The candidate provides a conversational example of the technical behavior described in Canon 1 and 2, where points (bones) inside the interaction volume trigger the simulation and points outside are ignored."
"forward-rendering.md","FORWARD RENDERING","SET_TOPIC","PARTIAL","active","2.15 Output Materials","0.776751","NinjaLive v2 Content Descriptor","0.776941","The candidate adds specific technical details regarding the compute-shader nature of the core fluidsim, the HLSL implementation of pressure solver v2, and its compatibility with DirectX and Android OpenGL ES 3.1, which are not present in the canon."
"fps-hands-vfx.md","FPS-HANDS VFX","SET_TOPIC","PARTIAL","proposed-scope-reject","Persistency vs Feedback","0.767350","NinjaLive v2 Content Descriptor","0.768243","The candidate provides specific technical guidance on 'PUNCTURE' vs 'DRAG' for FPS movement and UI behavior (red text for overdriving) not found in the canon excerpts."
"global-ground-fog.md","GLOBAL GROUND FOG","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.815700","FluidNinja LIVE-2 Manual","0.815700","The candidate introduces three specific architectural methods for achieving global coverage (Tiling, World Offset, and Container Arrays) and provides external video links not present in the canon."
"global-vs-local.md","GLOBAL vs LOCAL","SET_TOPIC","PARTIAL","active","2.1 Typical Setups","0.783095","FluidNinja LIVE-2 Manual","0.783095","While the canon describes local (Solo) vs global (External/Extended) setups, the candidate adds a specific external reference to a YouTube 'UseCase' playlist for detailed demonstrations."
"global.md","Global","SET_TOPIC","PARTIAL","active","9.2 Mapping: Local vs World","0.789145","NinjaLive v2 Content Descriptor","0.801027","The candidate provides specific technical details about the 'headless' editor behavior and the specific base material (M_NinjaOutput_WorldSpaceGeneric) used for placeholder visuals, which are not present in the canon excerpts."
"how-ninjalive-works.md","HOW NINJALIVE WORKS","SET_TOPIC","PARTIAL","active","1. Introduction","0.820684","NinjaLive v2 Content Descriptor","0.827738","The candidate introduces specific technical implementation details not found in the canon, namely the 'separated, kernel-blur based pressure solver' and the 'feedback cycle' architecture."
"hq-settings-for-cinematic-render.md","HQ SETTINGS FOR CINEMATIC RENDER","SET_TOPIC","PARTIAL","active","Warnings","0.821816","FluidNinja LIVE-2 Manual","0.821816","The candidate provides specific technical optimizations not found in the canon, including 'UsePressureSolver1' settings, pressure iteration counts (32/64), and specific console commands for 'r.volumetricfog.gridpixelsize'."
"hq-volumesmoke-for-cinematics.md","HQ VOLUMESMOKE FOR CINEMATICS","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.793552","FluidNinja LIVE-2 Manual","0.793552","The candidate introduces a specific three-component quality framework (core sim, bridge RenderTarget, and material instance) and mentions the 'bridge RenderTarget' as a quality-defining element, which is not detailed in the provided canon."
"hvol-visibility.md","HVOL VISIBILITY","SET_TOPIC","PARTIAL","active","11.6 Culling, Fading, Visibility","0.820831","FluidNinja LIVE-2 Manual","0.820831","The candidate adds a specific project-level configuration detail (that camera-distance fading is NOT used on the included level) which is not present in the canon."
"inverted-density-normal-foam.md","INVERTED DENSITY - NORMAL FOAM","SET_TOPIC","NOVEL","active","6.1 Sparse vs Dense Setups","0.755289","FluidNinja LIVE-2 Manual","0.755289","The candidate provides a specific usecase for achieving 'normal foam' in an 'inverted density setup' on rivers, which is not mentioned or explained in the provided canon excerpts."
"jumping-off-the-simulation.md","JUMPING OFF THE SIMULATION","SET_TOPIC","PARTIAL","proposed-scope-reject","4.6 Surface Alignment, Z-pos","0.773083","NinjaLive v2 Content Descriptor","0.788072","The candidate introduces a specific tool ('FLOORSNAPPER') and a concrete implementation strategy for 'jumping out' of the simulation (using LiveInterface to switch off interaction) that are not mentioned in the canon excerpts."
"komplex-vfx-plan-submerging-shipdeck.md","KOMPLEX VFX PLAN - SUBMERGING SHIPDECK","SET_TOPIC","PARTIAL","active","Brush Density from Velocity","0.739893","NinjaLive v2 Content Descriptor","0.771777","The candidate introduces specific technical implementations not found in the canon, such as 'collision masking' for deck outlining, 'WorldSpaceVelocity' for inertia, and the use of 'inverse brush strokes' for subtracting from noise patterns."
"landscape-splines.md","LANDSCAPE SPLINES","SET_TOPIC","PARTIAL","proposed-scope-reject","Sparse, Spline","0.826231","NinjaLive v2 Content Descriptor","0.828961","The candidate provides specific technical instructions for debugging the raw sim (TraceMeshInvisible and MI_DensityBuffer_Red) and a detailed workaround for Landscape Splines using a specific utility BP and node modification not found in the canon."
"large-scale-clouds-references.md","LARGE SCALE CLOUDS - REFERENCES","SET_TOPIC","NOVEL","active","11.2 Example Levels","0.763530","NinjaLive v2 Content Descriptor","0.785605","The candidate provides a list of specific external video references and their corresponding internal tutorial/usecase levels, none of which are mentioned in the canon excerpts."
"large-scale-clouds.md","LARGE SCALE CLOUDS","SET_TOPIC","PARTIAL","active","11.2 Example Levels","0.767980","NinjaLive v2 Content Descriptor","0.778147","The candidate provides specific mapping between external video references and internal project levels (e.g., Tutorial Level 21, Stage 8) which is not present in the canon excerpts."
"large-ship-trails.md","LARGE SHIP TRAILS","SET_TOPIC","PARTIAL","active","6.3 Extending The Sim Area","0.739820","FluidNinja LIVE-2 Manual","0.739820","The candidate provides specific technical configuration values (drag=0, feedback=0.99) and a concrete implementation example (6 colliders for a 150m ship) not found in the canon."
"large-water-bodies-simulation.md","LARGE WATER BODIES SIMULATION","SET_TOPIC","PARTIAL","active","Simulated Waves","0.815733","NinjaLive v2 Content Descriptor","0.830559","The candidate provides specific external video references and a roadmap for an 'infinite water field gen example' not present in the canon."
"lave-update-step-by-step-guide.md","LAVE UPDATE, STEP-BY-STEP GUIDE","SET_TOPIC","PARTIAL","proposed-scope-reject","9.4 Sim vs Spline Direction","0.786572","NinjaLive v2 Content Descriptor","0.821126","The candidate provides a specific step-by-step workflow for a lava update, including specific actor names (NinjaLive_TileGenerator_Lava2), material paths, and precise material graph modifications (renaming and replacing inputs) not found in the canon."
"lighting-vs-materials.md","LIGHTING vs MATERIALS","SET_TOPIC","PARTIAL","active","2.15 Output Materials","0.791655","FluidNinja LIVE-2 Manual","0.791655","The candidate provides specific material-level lighting logic for Fog, Clouds, and Smoke (e.g., 'DirectLit' mode and specific node names) and identifies specific material assets for 2D Raymarching that are not detailed in the canon excerpts."
"lighting-vs-volume-clouds.md","LIGHTING vs VOLUME CLOUDS","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.772783","FluidNinja LIVE-2 Manual","0.772783","The candidate provides a specific technical implementation guide for creating inter-cloud lightning using a SphereMask in a specific material path, which is not covered in the canon."
"live-2-beta-1-release-and-features.md","LIVE-2 Beta 1 Release and Features","SET_TOPIC","PARTIAL","active","15.1 Comparison","0.806520","FluidNinja LIVE-2 Manual","0.806520","The candidate provides a detailed Beta-1 changelog including specific bug fixes, BP feature additions, and rendering tweaks (e.g., r.TemporalAACurrentFrameWeight) not present in the canon excerpts."
"live-2-beta-2-release-and-features.md","LIVE-2 Beta 2 Release and Features","SET_TOPIC","NOVEL","active","15.1 Comparison","0.811621","FluidNinja LIVE-2 Manual","0.811621","The candidate provides specific Beta-2 release notes, including a bugfix for SUBGROUP013 and new features like RecollectFrequency and MF_WetMapFunction caustics, which are not mentioned in the canon excerpts."
"live-2-beta-3-release-and-features.md","LIVE-2 Beta 3 Release and Features","SET_TOPIC","PARTIAL","active","15.1 Comparison","0.831364","FluidNinja LIVE-2 Manual","0.831364","The candidate provides specific Beta-3 release notes, including a detailed feature list, bug fixes, and specific map paths that are not present in the canon excerpts."
"live-2-beta-4-release-and-features.md","LIVE-2 Beta 4 Release and Features","SET_TOPIC","PARTIAL","active","15.1 Comparison","0.815885","FluidNinja LIVE-2 Manual","0.815885","While the canon confirms the existence of the levels and stages mentioned, the candidate provides specific version updates for materials (v1.2), detailed Niagara module changes, and specific asset modification logic not present in the excerpts."
"live-2-documentation.md","LIVE-2 DOCUMENTATION","SET_TOPIC","PARTIAL","active","Contents","0.798346","NinjaLive v2 Content Descriptor","0.799843","The candidate adds specific details not found in the canon, including the exact number of tutorial levels (six), the existence of a 'Starting Guide', and the current hosting status of the files as server channel content."
"live-2-generic-info.md","LIVE-2 GENERIC INFO","SET_TOPIC","NOVEL","active","Manual preamble (before section 1)","0.693644","FluidNinja LIVE-2 Manual","0.693644","The canon excerpts do not mention a Discord channel or provide the specific link for non-beta Live 2.0 information."
"live-2-license.md","LIVE-2 LICENSE","SET_TOPIC","PARTIAL","active","15.2 Updating Live-1 to Live-2","0.740283","FluidNinja LIVE-2 Manual","0.740283","While canon confirms LIVE-1 users can access the LIVE-2 BETA, the candidate adds specific technical instructions for license validation via the EPIC Order ID and the step-by-step process to retrieve it."
"live-2-vs-mesh-terrain.md","LIVE-2 vs MESH TERRAIN","SET_TOPIC","PARTIAL","active","Height Input: RVT","0.800257","FluidNinja LIVE-2 Manual","0.800257","The candidate introduces a specific UE 5.8 Mesh Terrain feature and a new 'RVT transformer' for Transformer Pipelines that are not mentioned in the canon excerpts."
"live-2-vs-ue6.md","LIVE-2 vs UE6","SET_TOPIC","NOVEL","active","15.1 Comparison","0.762546","FluidNinja LIVE-2 Manual","0.762546","The canon excerpts contain no mention of Unreal Engine 6, its release schedule, or the potential deprecation of blueprints."
"live-2-wavegen-vs-rvt-input.md","LIVE-2 WAVEGEN vs RVT INPUT","SET_TOPIC","REDUNDANT","proposed-discard","14.2 Wave Generator","0.850339","FluidNinja LIVE-2 Manual","0.850339","The candidate's core technical claim that the wave generator does not work with RVT or SceneCapture and requires Landscape Components is explicitly stated in Canon 1, 3, and 4."
"live-2.md","LIVE-2","SET_TOPIC","PARTIAL","active","15.1 Comparison","0.910542","FluidNinja LIVE-2 Manual","0.910542","The candidate includes specific technical details about removed LIVE-1 features (linetracing, tracemesh, floorsnapper, and the separate Preset Manager UI) that are not mentioned in the provided canon excerpts."
"making-ninja-2d-sim-look-3d.md","MAKING NINJA 2D SIM LOOK 3D","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.791943","NinjaLive v2 Content Descriptor","0.797486","The candidate adds specific implementation details regarding driving 3D particle clouds (Niagara) using sim velocity for acceleration and density for height-map displacement, which is not detailed in the canon."
"mapping-sim-on-deformed-surfaces.md","MAPPING SIM ON DEFORMED SURFACES","SET_TOPIC","PARTIAL","proposed-scope-reject","11. Volumetrics","0.765618","NinjaLive v2 Content Descriptor","0.774860","While canon covers surface alignment via heightmaps, the candidate adds specific technical constraints for tracemesh UVs (single-piece/island-free) and a specific workaround for Pawn-attached volumes using impact normals for rotation."
"masking-a-boat.md","MASKING A BOAT","SET_TOPIC","PARTIAL","proposed-scope-reject","9.6 Masking the Simulation","0.781293","NinjaLive v2 Content Descriptor","0.802476","The candidate provides specific 'User mod' implementation workflows for dynamic collision masking (SceneCapture2D and RenderTarget-based texture positioning) and stencil mask material modifications that are not detailed in the canon."
"material-usage.md","Material usage","SET_TOPIC","PARTIAL","proposed-scope-reject","2.15 Output Materials","0.819951","FluidNinja LIVE-2 Manual","0.819951","The candidate adds a specific technical claim that the primary output material is applied to the TraceMesh by default, which is not explicitly stated in the canon."
"materials-and-performance-cost.md","MATERIALS and PERFORMANCE COST","SET_TOPIC","PARTIAL","active","12.2 Data Pipeline","0.837139","FluidNinja LIVE-2 Manual","0.837139","The candidate provides specific file paths for base materials, concrete instruction counts for performance tiers (100 vs 1000), and specific hardware performance benchmarks not present in the canon."
"max-number-of-tracked-sk-meshes.md","MAX NUMBER OF TRACKED SK MESHES","SET_TOPIC","PARTIAL","active","14.5 Interaction Volume","0.760637","NinjaLive v2 Content Descriptor","0.778688","While canon mentions a 40-mesh stress test, the candidate adds critical technical limits and performance guidance regarding the maximum number of trackable SK_meshes, the lack of limit on tracked bones, and the optimal bone count (10-30) for performance."
"memory-manager.md","MEMORY MANAGER","SET_TOPIC","NOVEL","active","1. Introduction","0.740622","NinjaLive v2 Content Descriptor","0.755289","The canon excerpts mention RenderTargets and simulation buffers, but contain no mention of a 'Memory Manager' actor, its purpose in avoiding runtime bottlenecks, or the 'Acquire Memory' setting."
"mouse-cursor-behaviour.md","MOUSE CURSOR BEHAVIOUR","SET_TOPIC","PARTIAL","active","3.4 Adjusting Setups","0.727610","NinjaLive v2 Params Descriptor","0.743087","While canon covers the 'NoUserInput' setting, the candidate adds specific instructions regarding the 'NinjaLive_Utilities' actor, the 'ShowMouseCursor' debug setting, and Unreal Editor Preferences."
"moving-ninja-to-a-new-subfolder.md","MOVING NINJA TO A NEW SUBFOLDER","SET_TOPIC","NOVEL","proposed-scope-reject","7.1  Presets","0.764242","FluidNinja LIVE-2 Manual","0.764242","The candidate describes a specific troubleshooting process for updating the 'PRESET SEARCH PATH' when moving folders, a technical detail and variable not mentioned in the provided canon excerpts."
"multilayer-materials.md","MULTILAYER MATERIALS","SET_TOPIC","NOVEL","active","2.15 Output Materials","0.771519","NinjaLive v2 Limitations Descriptor","0.781734","The candidate describes a user-created modification to the Landscape Utility and a custom Material Function replica for multilayer materials, neither of which are mentioned in the canon excerpts."
"nanite.md","NANITE","SET_TOPIC","NOVEL","active","16. References","0.745128","FluidNinja LIVE-2 Manual","0.745128","The candidate claims Nanite is 'officially not supported' due to specific limitations and provides external Discord links for evidence, whereas the canon only discusses Nanite in the context of performance gains when disabled."
"ninja-2d-vs-3d.md","NINJA 2D vs 3D","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.783390","FluidNinja LIVE-2 Manual","0.783390","While the canon covers 2D-to-3D extrusion and camera-facing volumes, the candidate adds specific technical guidance on using extrusion for vertices vs voxels and the performance/visual trade-off between mesh-surfaces and volumes for fire vs smoke."
"ninja-as-world-generator.md","NINJA as WORLD GENERATOR","SET_TOPIC","PARTIAL","active","6.3 Extending The Sim Area","0.801820","NinjaLive v2 Content Descriptor","0.811172","While the canon discusses extending the sim area and using external renderers for large areas, the candidate adds specific guidance on using Ninja 'on top of' native UE waves and introduces the concept of using tiled patterns for infinite cloud fields."
"ninja-vs-network.md","NINJA vs NETWORK","SET_TOPIC","NOVEL","active","2.13 Ninja Spawner","0.721278","NinjaLive v2 Params Descriptor","0.728679","The canon excerpts provide no information regarding network replication, dedicated servers, or client-side execution logic for Fluid Ninja LIVE 2."
"ninja-vs-ue57.md","NINJA vs UE.5.7","SET_TOPIC","NOVEL","active","15.1 Comparison","0.780829","NinjaLive v2 Limitations Descriptor","0.786439","The candidate provides specific compatibility fixes and parameter adjustments for UE 5.7 Preview that are not mentioned in the provided canon excerpts."
"ninjalive-actor.md","NINJALIVE ACTOR","SET_TOPIC","PARTIAL","active","2.1 Typical Setups","0.829001","NinjaLive v2 Limitations Descriptor","0.830710","The candidate adds a specific architectural recommendation for 'Large-Water-Surfaces' (combining a tile-generator and local interaction handler) and external tutorial links not present in the canon."
"ninjalive-component-vs-ninjalive-actor.md","NinjaLive COMPONENT vs NinjaLive ACTOR","SET_TOPIC","REDUNDANT","proposed-discard","14.5 Interaction Volume","0.815399","NinjaLive v2 Limitations Descriptor","0.831802","The candidate's technical claims regarding the difference between NinjaLive Actor (global interaction) and NinjaLive Component (owner-only interaction) are fully entailed by Canon 5 and Canon 7."
"ninjalivecomponent-not-recognized.md","NINJALIVECOMPONENT NOT RECOGNIZED","SET_TOPIC","NOVEL","proposed-scope-reject","7.1  Presets","0.731369","NinjaLive v2 Params Descriptor","0.743498","The canon excerpts describe parameters, presets, and data interface bugs, but contain no mention of a 'NinjaLive INTERFACE' or the requirement to add it to an Actor blueprint to resolve Preset Manager recognition issues."
"no-interaction-in-movie-render-queue.md","NO INTERACTION IN MOVIE RENDER QUEUE","SET_TOPIC","NOVEL","active","Warnings","0.690933","FluidNinja LIVE-2 Manual","0.690933","The candidate consists entirely of external Discord links and provides no technical content, whereas the canon contains detailed instructions for MRQ rendering."
