file,original_redundancy_bucket,reason,canon_evidence,disposition
jumping-off-the-simulation.md,PARTIAL,"Prescribes removed LIVE-1 TraceMesh, FloorSnapper, and LiveInterface workflows.","Manual: TraceMesh and FloorSnapper are gone and the interaction architecture changed in LIVE-2.",proposed-scope-reject
landscape-splines.md,PARTIAL,"Prescribes the removed LIVE-1 internal TraceMesh/output-material workflow.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
lave-update-step-by-step-guide.md,PARTIAL,"Migration instructions depend on removed LIVE-1 TraceMesh parameters.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
mapping-sim-on-deformed-surfaces.md,PARTIAL,"Describes a user-defined TraceMesh workflow as current behavior.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
masking-a-boat.md,PARTIAL,"Uses removed LIVE-1 TraceMeshPos and TraceMeshScale variables as current masking guidance.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
material-usage.md,PARTIAL,"Describes internal TraceMesh output-material behavior as current architecture.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
moving-ninja-to-a-new-subfolder.md,NOVEL,"Uses the removed LIVE-1 PresMan container and preset-definition workflow.","Manual: Preset Manager as a separate UI is gone in LIVE-2.",proposed-scope-reject
overlapping.md,PARTIAL,"Describes TraceMesh and camera line-trace projection as current interaction architecture.","Manual: TraceMesh and line tracing as projection methods are gone in LIVE-2.",proposed-scope-reject
preparing-ninjalive-for-a-new-feature.md,PARTIAL,"Uses TraceMesh velocity and legacy module instructions as the current extension workflow.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
running-fluidsim-on-custom-meshes.md,PARTIAL,"Directs readers to the obsolete TraceMesh workflow.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
sim-size-resolution-aspect.md,PARTIAL,"Uses Ninja TraceMesh size as the current simulation canvas configuration.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
spawning-vs-conflicting-live-components.md,NOVEL,"Describes line-tracer and TraceMesh collision conflicts from the removed LIVE-1 architecture.","Manual: TraceMesh and line tracing as projection methods are gone in LIVE-2.",proposed-scope-reject
visualizing-a-2d-sim-via-3d-volumes.md,PARTIAL,"Sizes LIVE volumetrics against the obsolete Ninja TraceMesh.","Manual: TraceMesh as a technical object is gone in LIVE-2.",proposed-scope-reject
volumesmoke-on-character.md,PARTIAL,"Uses removed LIVE-1 CameraFacingTraceMesh and PresetManager workflows.","Manual: TraceMesh and Preset Manager are gone or replaced in LIVE-2.",proposed-scope-reject
